0,ATL,ORD,LAX,DFW,DEN,JFK,SFO,CLT,LAS,PHX,IAH,MIA,MCO,EWR,SEA,MSP,DTW,PHL,BOS,LGA,FLL,BWI,IAD,SLC,DCA,MDW,HNL,SAN,TPA,PDX,STL,HOU,OAK,MCI,BNA,AUS,RDU,CLE,SMF,SNA,MSY,SJC,SAT,DAL,PIT,MKE
HOU,53,0,15,20,15,13,15,11,15,13,4,3,24,14,12,17,12,13,18,14,12,15,8,10,9,13,0,12,18,9,15,0,13,15,14,18,14,5,13,13,17,12,23,19,10,14
OAK,13,5,50,25,23,13,3,8,39,61,9,2,12,24,43,18,24,26,22,16,15,14,24,55,3,16,37,23,15,56,13,17,0,21,14,22,9,6,1,18,17,2,24,13,17,13
MCI,42,91,28,14,87,17,32,49,17,39,25,4,23,29,27,65,69,50,12,65,19,16,50,42,43,14,0,15,17,14,30,15,16,0,19,13,31,43,21,12,18,25,16,13,18,12
BNA,36,41,34,16,45,27,17,61,14,14,24,24,13,31,16,61,89,47,18,81,17,20,27,26,53,14,0,14,17,14,15,14,13,18,0,23,21,34,12,11,21,11,15,15,21,10
AUS,38,67,51,27,89,39,64,23,29,44,51,9,37,33,38,57,51,31,41,20,28,22,49,49,19,12,11,23,21,18,12,19,25,13,20,1,18,19,16,22,25,13,11,12,15,7
RDU,46,99,48,23,19,61,23,45,24,26,50,27,60,58,28,82,94,59,74,81,37,51,76,10,62,16,4,19,49,16,18,14,9,18,12,22,1,49,7,16,21,12,12,10,44,4
CLE,75,80,20,32,65,41,17,86,26,24,43,29,33,51,11,72,51,71,63,61,25,59,81,8,47,17,8,17,29,9,38,7,1,38,35,27,45,4,9,13,61,13,23,13,26,33
SMF,28,12,36,19,47,15,22,9,16,39,20,2,23,20,27,32,14,21,26,14,27,27,23,40,12,12,12,20,24,33,16,11,2,23,12,19,13,10,0,15,24,4,23,12,20,10
SNA,28,35,12,28,52,8,48,3,30,40,22,11,23,21,38,31,24,25,25,19,24,25,21,34,14,19,6,3,21,34,22,13,13,15,14,25,17,12,14,0,9,20,19,7,13,20
MSY,43,68,40,33,53,31,24,47,28,24,50,20,29,58,24,58,67,45,52,47,18,46,45,32,32,13,0,26,18,21,16,17,18,18,15,24,20,59,17,15,1,22,29,18,35,14
SJC,33,28,68,21,39,12,16,1,21,43,18,4,23,25,27,24,23,17,35,17,6,29,13,37,9,12,25,19,28,40,15,12,4,22,13,15,17,10,1,15,18,0,19,14,15,14
SAT,41,76,41,28,58,14,34,40,20,39,58,14,26,36,36,63,55,27,24,22,16,26,44,46,17,13,2,23,30,19,20,26,22,11,13,15,14,25,19,20,28,18,0,18,24,8
DAL,28,5,20,1,18,0,13,1,12,18,25,2,13,13,13,19,11,14,12,12,12,13,2,13,9,14,0,12,13,12,18,18,14,15,17,17,10,11,13,9,16,13,21,1,6,13
PIT,64,83,35,30,57,53,23,47,26,34,50,28,51,59,24,65,80,62,53,107,49,23,65,14,34,13,2,27,41,11,32,13,15,22,16,29,52,24,19,24,41,14,12,8,2,9
MKE,36,48,15,32,39,8,20,29,13,33,24,4,38,27,14,90,62,21,21,58,16,14,12,13,15,6,0,15,22,11,16,14,12,12,10,10,10,34,10,13,14,12,11,14,7,0
