ATL,0,215
ORD,1,185
LAX,3,128
DFW,1,147
DEN,2,137
JFK,0,185
SFO,3,116
CLT,0,95
LAS,3,112
PHX,2,112
IAH,1,129
MIA,0,128
MCO,0,102
EWR,0,116
SEA,3,95
MSP,1,129
DTW,0,145
PHL,0,125
BOS,0,101
LGA,0,76
FLL,0,57
BWI,0,84
IAD,0,109
SLC,2,79
DCA,0,44
MDW,1,48
HNL,5,29
SAN,3,51
TPA,0,62
PDX,3,60
STL,1,81
HOU,1,26
OAK,3,30
MCI,1,90
BNA,1,78
AUS,1,25
RDU,0,50
CLE,0,67
SMF,3,32
SNA,3,20
MSY,1,17
SJC,3,28
SAT,1,27
DAL,1,20
PIT,0,62
MKE,1,48
